,question,answer,generator
0,"In one sentence, what is the main idea implemented by selection sort?",It repeatedly finds the smallest remaining element and places it at the front.,ai_generated
1,"What is the difference between an array declared as static, and one that is not?","static arrays keep the values after the end of a function, while non static reinitialize every time.",human
2,What is the difference between a data member and a local variable inside a member function?,Local variables are used only within the scope of its declaration,human
3,"In one sentence, what is the main idea implemented by selection sort?","Find the smallest value in the list and make it the first element, then find the smallest value of the leftover list and make it the first element of the leftover list and continue until the list is sorted.",human
4,What is the main advantage associated with function arguments that are passed by reference?,"Actual arguments are associated with dummy arguments when a function or subroutine is referenced. In a procedure reference, the actual argument list identifies the correspondence between the actual arguments provided in the list and the dummy arguments of the subprogram",human
5,What is the height of a tree?,The length of the longest path from the root to any of its leaves.,human
6,How can you implement a queue with an array?,"Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around.",human
7,How are arrays passed to functions?,"As a pointer to their first element, so the function works on the original array, not a copy.",ai_generated
8,What is the Euler tour traversal of a tree?,"A traversal that visits each node three times: before, between, and after visiting its children.",ai_generated
9,How can you implement a stack with a list?,Using nodes to keep track of the head of the stack. Then using Push( ) and Pop ( ) to create the stack as needed.,human
10,What is the inorder traversal of a binary tree?,Left Child -> Parent -> Right Child,human
11,What is the advantage of linked lists over arrays?,"Linked lists are dynamic structures, which allow for a variable number of elements to be stored.",human
12,What is the main difference between a while and a do...while statement?,A while checks the condition before running the loop body; a do...while runs the body once before checking.,ai_generated
13,What operations would you need to perform to find a given element on a stack?,Pop each element off the stack (and into another stack for storage) until the desired element is found.,human
14,What is the difference between a circular linked list and a basic linked list?,"The circular linked list's tail points to the head, whereas the basic linked list's tail points to a NULL.",human
15,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.",human
16,What is the difference between an array that is declared as static and one that is not?,the data of a static array cannot be changed,human
17,What is a function signature?,"The function name along with the number, order, and types of its parameters.",ai_generated
18,How many constructors can be created for a class?,"As many as needed, as long as each has a different parameter list (overloading).",ai_generated
19,"How are bi-dimensional arrays stored in memory, by rows or by columns?",rows,human
20,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"Only one, the first; the rest are inferred from the data.",ai_generated
21,What are the main advantages associated with object-oriented programming?,"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",human
22,Where do C++ programs begin to execute?,C++ programs begin execution at main.,human
23,What is the difference between an array that is declared as static and one that is not?,"a static array can be can be edited throughout the program, while a non-static array can only be edited within a given function",human
24,What is the role of a header-file?,"A header file consists of ""reusable"" source code such as a class in a file that by convention has a .h filename extension. This differs from .cpp files that contain ""source-code.""",human
25,What is a queue?,like a linked list expect first in last out,human
26,What is the difference between a circular linked list and a basic linked list?,A circular linked list has the last node point back to the head of the linked list.,human
27,What is a function pointer?,The address of the location in memory where the function code resides.,human
28,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,type string is an array of chars that will make an array of single letter characters while an array of strings will be an actual array of words (or an array of char arrays),human
29,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?","A queue, since jobs should be printed in the order they were received.",ai_generated
30,How are linked lists passed as arguments to a function?,By reference.,human
31,How many steps does it take to search a node in a binary search tree?,log n,human
32,What is the alternative way to solve a problem that could be solved through recursive functions?,"A recursive function can often be solved using an iterative function, which runs faster, but is often more complicated.",human
33,What is the height of a tree?,The number of edges on the longest path from the root to a leaf.,ai_generated
34,What is a binary tree?,"A tree data structure in which each done has at most two children, typical called left and right nodes.  The right node is usually greater than the left node and the parent node.",human
35,"Briefly, how does selection sort work?","it selects the smallest element in a list and switches it with the element in its correct position, then it selects the next smallest and does the same...",human
36,What is the main disadvantage of a doubly-linked list over a basic linked list?,It uses more memory per node and requires more pointer updates.,ai_generated
37,What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?,A string object handles memory automatically; a char array requires manual size management.,ai_generated
38,What is the difference between a constructor and a function?,"constructor is a special block of statements called when an object is created, either when it is declared statically or constructed on the stack. However a function is a portion of code within a larger program, which performs a specific task and independent to the rest of the code.",human
39,What is a binary search tree?,a tree that is set up so that it can be easily searched for numbers based on the location compared to the previous nodes.,human
40,What is a leaf?,an endpoint on a tree that contains no pointers or pointers that are set to null,human
41,Briefly describe the divide-and-conquer paradigm.,to divide one larger string/line of values and sepereate them into smallers lines to easily manipulate them and then replace them in the order in which they should be.,human
42,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion function never reaches or successfully defines the base case it will recurse forever.<br><br>This happens many ways, such as the function doesn't progress towards the base case, or the function is coded poorly and doesn't even contain a base case.",human
43,"What is the difference between an array declared as static, and one that is not?","The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called.",human
44,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,it is a run-time error,human
45,What is a tree?,"A hierarchical data structure of nodes connected by edges, with one root and no cycles.",ai_generated
46,What is the base case for a recursive implementation of merge sort?,"A sub-array of length 1 (or 0), which is already sorted by definition.",ai_generated
47,What is the main advantage of arrays over linked lists?,Faster random access to elements by index.,ai_generated
48,What does the sizeof operator return?,the sizeof operator returns the size in bytes of an array parameter,human
49,How many comparisons does it take to find an element in a binary search tree?,"at the minimum log(n)/log(2), at the maximum N searches, where N is the number of nodes.",human
50,What is a binary search tree?,A binary tree where left children are smaller and right children are larger than their parent.,ai_generated
51,How can you implement a stack with a list?,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",human
52,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,human
53,What is a function signature?,"A function signature, used in a function's prototype, is the set of object types it take in as parameters, with or without names given for the objects.",human
54,What are the two main functions defined by a queue?,enqueue and dequeue,human
55,What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,human
56,What are the main operations associated with a stack?,pop and push,human
57,What is the experimental approach for measuring the running time of an algorithm?,Run the algorithm on real input and measure actual elapsed time.,ai_generated
58,What is the advantage of linked lists over arrays?,Faster insertion and deletion since no shifting of elements is needed.,ai_generated
59,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,"2^(log n), log(log n), n!, n^2, n^3",human
60,"Which implementation (array-based vs. list-based) is preferred, and why?","Array-based, because it avoids the memory overhead of pointers and has better cache performance.",ai_generated
61,How are infix expressions evaluated by computers?,By converting them to postfix (or prefix) notation and evaluating that with a stack.,ai_generated
62,What is a leaf?,A node with no children.,ai_generated
63,How are arrays passed to functions?,by reference.,human
64,What is a binary search tree?,A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,human
65,What does the sizeof operator return?,it returns the size in bytes of a certain variable type,human
66,What does the star (*) operator return?,The * operator returns the dereferenced pointer variable (ie: it returns the value of whatever variable the pointer is pointing to),human
67,How are overloaded functions differentiated by the compiler?,"they have to have same return type, but different input parameters",human
68,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",Queues would be preferable to stacks for use as scheduling print jobs because it would print jobs in the order that they were sent to the printer.,human
69,What is the difference between a function prototype and a function definition?,"function prototype describe the class's public interface without revealing <br><br>the class's member function implementations,  function definitions show what <br><br>implementations are being done",human
70,How are arrays passed to functions?,-Arrays are passed by reference <br><br>      -Individual array elements passed by value<br><br>      -Functions that take arrays as arguments <br><br>      -Function prototypes may include parameter names<br><br>      -const array parameters,human
